code,onset,offset,code.value
transcribe,00:00:00.986,00:00:01.486,"m,okay come on"
transcribe,00:00:01.163,00:00:01.663,"b,c"
transcribe,00:00:01.496,00:00:01.996,"m,lets go"
transcribe,00:00:01.606,00:00:02.106,"b,c"
transcribe,00:00:03.326,00:00:03.826,"m,come here"
transcribe,00:00:03.473,00:00:03.973,"b,c"
transcribe,00:00:05.372,00:00:05.872,"m,should we try drawing?"
transcribe,00:00:06.371,00:00:06.871,"b,c"
transcribe,00:00:06.751,00:00:07.251,"b,c"
transcribe,00:00:09.456,00:00:09.956,"m,come on"
transcribe,00:00:10.635,00:00:11.135,"b,c"
transcribe,00:00:10.710,00:00:11.210,"m,lets go in here"
transcribe,00:00:11.439,00:00:11.939,"b,c"
transcribe,00:00:11.900,00:00:12.400,"m,ok"
transcribe,00:00:15.082,00:00:15.582,"b,c"
transcribe,00:00:15.547,00:00:16.047,"m,here"
transcribe,00:00:15.920,00:00:16.420,"m,you know what"
transcribe,00:00:16.742,00:00:17.242,"m,lets put on"
transcribe,00:00:17.835,00:00:18.335,"b,c"
transcribe,00:00:18.865,00:00:19.365,"b,c"
transcribe,00:00:19.532,00:00:20.032,"m,sh"
transcribe,00:00:20.756,00:00:21.256,"m,come here"
transcribe,00:00:21.229,00:00:21.729,"m,lets put on dougie ok?"
transcribe,00:00:22.530,00:00:23.030,"b,c"
transcribe,00:00:22.616,00:00:23.116,"m,come here"
transcribe,00:00:23.074,00:00:23.574,"b,c"
transcribe,00:00:23.554,00:00:24.054,"b,c"
transcribe,00:00:24.825,00:00:25.325,"b,c"
transcribe,00:00:25.948,00:00:26.448,"b,c"
transcribe,00:00:26.746,00:00:27.246,"m,ok"
transcribe,00:00:27.030,00:00:27.530,"m,ill put dougie on"
transcribe,00:00:29.366,00:00:29.866,"m,for a little bit ok?"
transcribe,00:00:29.646,00:00:30.146,"b,c"
transcribe,00:00:30.653,00:00:31.153,"b,c"
transcribe,00:00:57.223,00:00:57.723,"m,whats that?"
transcribe,00:01:03.221,00:01:03.721,"m,yeah?"
transcribe,00:01:11.726,00:01:12.226,"b,c"
transcribe,00:01:12.673,00:01:13.173,"m,no?"
transcribe,00:01:14.347,00:01:14.847,"m,whats the matter?"
transcribe,00:01:16.502,00:01:17.002,"b,c"
transcribe,00:01:18.370,00:01:18.870,"m,what?"
transcribe,00:01:18.856,00:01:19.356,"b,c"
transcribe,00:01:19.941,00:01:20.441,"m,come on"
transcribe,00:01:25.748,00:01:26.248,"b,c"
transcribe,00:01:26.437,00:01:26.937,"b,c"
transcribe,00:01:28.141,00:01:28.641,"b,c"
transcribe,00:01:31.064,00:01:31.564,"m,whats the matter?"
transcribe,00:01:42.812,00:01:43.312,"m,ah"
transcribe,00:02:13.742,00:02:14.242,"m,ill get you some water"
transcribe,00:02:19.740,00:02:20.240,"m,want some?"
transcribe,00:03:06.692,00:03:07.192,"b,c"
transcribe,00:03:24.748,00:03:25.248,"m,lets draw"
transcribe,00:03:39.964,00:03:40.464,"m,xxx"
